id,country_name_short,country,region,sub_region
158,,,,
4,Afghanistan,Afghanistan,Asia,Southern Asia
8,Albania,Albania,Europe,Southern Europe
12,Algeria,Algeria,Africa,Northern Africa
16,,American Samoa,Oceania,Polynesia
20,Andorra,Andorra,Europe,Southern Europe
24,Angola,Angola,Africa,Sub-Saharan Africa
660,,Anguilla,Americas,Latin America and the Caribbean
10,,Antarctica,,
28,Antigua and Barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean
32,Argentina,Argentina,Americas,Latin America and the Caribbean
51,Armenia,Armenia,Asia,Western Asia
533,Aruba,Aruba,Americas,Latin America and the Caribbean
36,Australia,Australia,Oceania,Australia and New Zealand
40,Austria,Austria,Europe,Western Europe
31,Azerbaijan,Azerbaijan,Asia,Western Asia
44,Bahamas,Bahamas,Americas,Latin America and the Caribbean
48,Bahrain,Bahrain,Asia,Western Asia
50,Bangladesh,Bangladesh,Asia,Southern Asia
52,Barbados,Barbados,Americas,Latin America and the Caribbean
112,Belarus,Belarus,Europe,Eastern Europe
56,Belgium,Belgium,Europe,Western Europe
84,Belize,Belize,Americas,Latin America and the Caribbean
204,Benin,Benin,Africa,Sub-Saharan Africa
60,,Bermuda,Americas,Northern America
64,Bhutan,Bhutan,Asia,Southern Asia
68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
535,,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
70,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Southern Europe
72,Botswana,Botswana,Africa,Sub-Saharan Africa
74,,Bouvet Island,Americas,Latin America and the Caribbean
76,Brazil,Brazil,Americas,Latin America and the Caribbean
86,,British Indian Ocean Territory,Africa,Sub-Saharan Africa
92,,British Virgin Islands,Americas,Latin America and the Caribbean
96,Brunei Darussalam,Brunei Darussalam,Asia,South-eastern Asia
100,Bulgaria,Bulgaria,Europe,Eastern Europe
854,Burkina Faso,Burkina Faso,Africa,Sub-Saharan Africa
108,Burundi,Burundi,Africa,Sub-Saharan Africa
132,Cabo Verde,Cabo Verde,Africa,Sub-Saharan Africa
116,Cambodia,Cambodia,Asia,South-eastern Asia
120,Cameroon,Cameroon,Africa,Sub-Saharan Africa
